,num_simplices,max_order_simplex,index_study
0,[289 767 132   4],4,0
0,[291 794 128   1],4,1
0,[285 820 134   2],4,2
0,[282 733  85   1],4,3
0,[285 748 119   4],4,4
0,[278 720  51   2],4,5
0,[289 798 150   2],4,6
0,[292 808 140   6],4,7
0,[293 804 171   6],4,8
0,[291 763  97   2],4,9
0,[291 793 133   4],4,10
0,[295 770 148   4],4,11
0,[287 834 233   8],4,12
0,[290 816 207  13],4,13
0,[285 811  87],3,14
0,[283 772 111],3,15
0,[291 775 145   5],4,16
0,[279 741 148   2],4,17
0,[288 777 105   5],4,18
0,[296 823 206  16   1],5,19
0,[290 780 153  10   1],5,20
0,[292 792 177  10],4,21
0,[292 772 140   6],4,22
0,[295 806 122   3],4,23
0,[296 788 183   6],4,24
0,[292 824 146   4],4,25
0,[291 809 157   2],4,26
0,[289 781 188   5],4,27
0,[285 791 154   3],4,28
0,[291 786 143   1],4,29
0,[291 785 128   2],4,30
0,[292 831 229  16],4,31
0,[283 806 189   7],4,32
0,[291 793 116   1],4,33
0,[293 836 157  12   1],5,34
0,[291 826 136   4],4,35
0,[291 835 209   7],4,36
0,[287 824 173   8],4,37
0,[285 819 217  14],4,38
0,[288 822 198  14],4,39
0,[295 770 107],3,40
0,[282 754 166  14   2],5,41
0,[292 799 173  11],4,42
0,[288 771 162   9],4,43
0,[283 812 153   4],4,44
0,[294 807  89   1],4,45
0,[290 808 175   2],4,46
0,[290 812 209  12],4,47
0,[291 675  85],3,48
0,[287 778 157   3],4,49
0,[289 783 156   7],4,50
0,[296 765  92   3],4,51
0,[292 796 174   3],4,52
0,[286 782 101   1],4,53
0,[282 741 136   6],4,54
0,[297 820 214   5],4,55
0,[289 801 141],3,56
0,[288 808 134   8],4,57
0,[295 813 204  12],4,58
0,[288 769  96   1],4,59
0,[296 831 159  10],4,60
0,[291 809 106   2],4,61
0,[294 829 152   4],4,62
0,[286 795 155   4],4,63
0,[292 835 161   6],4,64
0,[289 777 123   5],4,65
0,[287 785 167   8],4,66
0,[291 746 151   3],4,67
0,[288 750  96   2],4,68
0,[288 804  96   1],4,69
0,[280 768 131   4],4,70
0,[295 829 162   6],4,71
0,[292 806 157   6],4,72
0,[289 779 109   1],4,73
0,[290 778 121   3],4,74
0,[293 836 152   3],4,75
0,[291 816 160   2],4,76
0,[286 815 183   6],4,77
0,[289 802 181   3],4,78
0,[292 779 105   1],4,79
0,[287 761 110   3],4,80
0,[288 781  97   1],4,81
0,[293 757  80],3,82
0,[291 766  74   1],4,83
0,[289 774 173  20],4,84
0,[292 799 163   5],4,85
0,[292 796 161   4],4,86
0,[291 781 140   4],4,87
0,[296 832 214  14   1],5,88
0,[287 822 189  14   1],5,89
0,[290 820 161   7],4,90
0,[280 747 103   1],4,91
0,[291 813 152   5],4,92
0,[283 782 147   5],4,93
0,[282 779 131   1],4,94
0,[286 761 149   3],4,95
0,[288 792 160   3],4,96
0,[294 797 108   2],4,97
0,[292 820 173   4],4,98
0,[284 810 119   2],4,99
0,[296 832 123   7],4,100
0,[291 842 245  18],4,101
0,[291 808 109],3,102
0,[292 816 203  24   2],5,103
0,[293 785 168  13   1],5,104
0,[292 813 158   4],4,105
0,[293 820 161   5],4,106
0,[285 785 194  15   1],5,107
0,[298 814 135   3],4,108
0,[289 757 122   1],4,109
0,[297 821 128   5],4,110
0,[291 730 129   3],4,111
0,[298 808 199  11],4,112
0,[289 802 181   5],4,113
0,[289 784 147   3],4,114
0,[291 819 207   7],4,115
0,[288 795 138   6],4,116
0,[288 809 221  12],4,117
0,[295 765 143   5],4,118
0,[295 816 156   7],4,119
0,[291 856 143   5],4,120
0,[294 821 141   7],4,121
0,[290 784 181   7],4,122
0,[292 786 153   2],4,123
0,[286 807 223  10],4,124
0,[288 791 164   7],4,125
0,[290 796 147  14],4,126
0,[286 802 137   5],4,127
0,[291 765 149   3],4,128
0,[289 781 163   7],4,129
0,[288 795 236  16],4,130
0,[293 769 161   8],4,131
0,[296 809 135   2],4,132
0,[296 812 131   6],4,133
0,[292 816 165   4],4,134
0,[296 782 143   6],4,135
0,[287 776 109   5],4,136
0,[293 812 165   6],4,137
0,[288 815 132   2],4,138
0,[291 812 165   4],4,139
0,[285 781 140   5],4,140
0,[292 816 148   7],4,141
0,[288 783 108   2],4,142
0,[290 740 104   3],4,143
0,[295 769 116],3,144
0,[284 754 126  11   1],5,145
0,[277 781 142  11   1],5,146
0,[280 781 109   4],4,147
0,[288 756  58   1],4,148
0,[286 789 171   2],4,149
0,[289 791 147   1],4,150
0,[291 824 173   4],4,151
0,[288 806 135   7],4,152
0,[290 819 160   8   1],5,153
0,[277 806 162   7],4,154
0,[289 823 181   3],4,155
0,[292 836 128   4],4,156
0,[295 793 122   1],4,157
0,[292 793 227  28   2],5,158
0,[290 795 209   7],4,159
0,[286 819 181  10   1],5,160
0,[285 804 150   6],4,161
0,[290 793  82   3],4,162
0,[294 774 162   7],4,163
0,[293 792 108   4],4,164
0,[290 718  84   2],4,165
0,[287 765 149   7],4,166
0,[296 809 232  21],4,167
0,[291 846 203  14],4,168
0,[292 780 107   2],4,169
0,[287 752  99],3,170
0,[293 784 108   3],4,171
0,[294 789 129   7],4,172
0,[292 767 151   7],4,173
0,[291 740 107   3],4,174
0,[286 729  82   1],4,175
0,[291 725  92   5],4,176
0,[286 734 120   4],4,177
0,[293 760 108   4],4,178
0,[293 756  86   2],4,179
0,[284 768 109   1],4,180
0,[285 766 146   7],4,181
0,[286 789 168   4],4,182
0,[291 762 110   2],4,183
0,[292 820 156   2],4,184
0,[285 720 129   9],4,185
0,[287 801 106   3],4,186
0,[292 836 208  12],4,187
0,[291 844 130],3,188
0,[289 779 147   4],4,189
0,[289 777 156   6],4,190
0,[293 820 251  13],4,191
0,[287 750  78   1],4,192
0,[288 759 120   2],4,193
0,[292 798 175   8],4,194
0,[286 781 114   2],4,195
0,[284 785 194   9],4,196
0,[293 806 172   8],4,197
0,[286 819 152   2],4,198
0,[284 725 148   2],4,199
0,[287 792 148   2],4,200
0,[286 779 105   3],4,201
0,[296 775 100   3],4,202
0,[285 805 129   3],4,203
0,[287 788 187  13   1],5,204
0,[295 808 180   6],4,205
0,[292 748 127   4],4,206
0,[292 836 150  11   1],5,207
0,[287 827 202  11],4,208
0,[292 791 162  11],4,209
0,[291 768 116   2],4,210
0,[289 798 133   2],4,211
0,[290 807 118   2],4,212
0,[292 809 131   5],4,213
0,[291 795 152   5],4,214
0,[280 778 235  28],4,215
0,[284 750 116   2],4,216
0,[288 806 175  14],4,217
0,[290 718  79],3,218
0,[296 783  88   1],4,219
0,[285 711  78   3],4,220
0,[298 860 168   5],4,221
0,[292 842 129   3],4,222
0,[293 822 102   2],4,223
0,[290 813 134],3,224
