,Id,Filename,Species,Genus,Sub-Family,Family,Sub-Order,Order,Super-Order,Name,Common-Name,DTI resolution,SNR,Brain Orientation,GM,WM,log10(GM),log10(WM),log10(BrV),BR,TotFib,CC,AC,HC,Total Commisures,Com Ratio,Total MSP,HMSP (RA),HMSP (LB),AvHMSP,TNetDens,HNetDens,Strong NetDens (>20),Hcost,Tcost,n
57,57,Dego,Ocotdon degus,Octodon,,Octodontidae,Hystricomorpha,Rodentia,Euarchontoglires,Dego,Common degu,0.23,13.56805218,RL,1.3246,0.2298,3.122084751,2.361350024,3.191562788,1.5544,57156,2931,150,2800,5881,10.28938344,132.2015214,51.57772171,53.27362809,52.4256749,0.33565,18.8655,1.22,684034.25,751009.0,1.0
58,58,DikDik,Madoqua kirkii,Madoqua,Antilopinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Dik Dik,Dik dik,0.5,30.97040424,RL,28.64,3.93,4.456973014,3.59439255,4.512817759,32.57,75867,6027,2535,187,8749,11.53202315,128.7720981,52.05077785,53.11507109,52.58292447,0.31641,18.373,1.2,776823.45,811030.8,1.0
59,59,Dog1,Canis lupus familiaris,Canis,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Dog,Domestic dog,0.75,78.5361296,RL,52.3184,15.4824,4.718654454,4.189838284,4.831234818,67.8008,47360,4367,42,654,5063,10.69045608,107.8059267,45.10675139,41.81971993,43.46323566,0.27225,14.984,1.46,692630.95,694140.0,7.0
60,60,Dog2,Canis lupus familiaris,Canis,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Dog,Domestic dog,0.74,33.40037717,RL,82.82,18.5,4.918135226,4.267171728,5.005695181,101.32,78955,8599,144,134,8877,11.24311317,132.588767,53.8482711,54.76351178,54.30589144,0.3289,19.6125,1.01,770452.6,786617.7,7.0
61,61,Dog3,Canis lupus familiaris,Canis,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Dog,Domestic dog,0.74,55.85557913,RL,59.2,10.98,4.772321707,4.04060234,4.846213364,70.18,42696,5481,153,673,6307,14.77187559,119.1001499,47.14377194,50.96981208,49.05679201,0.29635,17.463,1.22,624845.55,644119.0,7.0
62,62,Dog4,Canis lupus familiaris,Canis,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Dog,Domestic dog,0.74,93.43739446,RL,62.8,10.38,4.797959644,4.016197354,4.864392405,73.18,60410,6473,286,462,7221,11.95331899,127.3120881,51.63995245,55.50411841,53.57203543,0.3437,20.729,1.05,652763.0,685911.9,7.0
63,63,Dog5,Canis lupus familiaris,Canis,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Dog,Domestic dog,0.77,105.3378435,RL,60.93,14.82,4.784831178,4.170848204,4.879382637,75.75,61274,7883,41,756,8680,14.16587786,130.7987354,52.36331516,52.02473709,52.19402613,0.34813,19.9155,1.11,671503.5,705800.8,7.0
64,64,Dog6,Canis lupus familiaris,Canis,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Dog,Domestic dog,0.66,56.82671876,RL,64.67,12.96,4.810702861,4.112605002,4.890029586,77.63,92414,11403,226,659,12288,13.29668665,124.3965727,53.07532989,51.71241859,52.39387424,0.32126,19.596,1.0,793171.8,844460.7,7.0
65,65,Dog7,Canis lupus familiaris,Canis,Caninae,Canidae,Caniformia,Carnivora,Laurasiatheria,Dog,Domestic dog,0.8,153.0368689,RL,58.59,13.66,4.767823498,4.135450699,4.858837851,72.25,36431,4127,1,502,4630,12.70895666,115.4635129,48.1004622,46.26465282,47.18255751,0.27099,15.3855,1.32,728056.9,743989.9,7.0
66,66,Donkey,Equus africanus asinus,Equus,Equinae,Equidae,Hippomorpha,Perissodactyla,Laurasiatheria,Donkey,Donkey,1.3,27.8507704,LR,281.0,63.0,5.44870632,4.799340549,5.536558443,344.0,51337,6438,4,1254,7696,14.991137,136.2069949,53.82044673,52.90838973,53.36441823,0.34675,18.783,1.09,746090.7,804978.9,1.0
