,num_simplices,max_order_simplex,index_study
0,[  200  3043 13845 30575 40394 34701 19119  6269  1059    67],10,80
0,[  200  2758  9032 11051  5938  1448   148     3],8,81
0,[ 200 2264 5319 4827 2269  681  127   10],8,82
0,[  200  2381  7338 11250 11143  7250  2913   672    86     5],10,83
0,"[   200   3840  26330  94107 204673 297292 309056 241405 144418  65211
  21412   4857    704     57      2]",15,84
0,[  200  2944 12560 25349 32375 30533 21864 11605  4426  1154   186    14],12,85
0,[  200  2480  8555 12475  9167  3684   861   126    10],9,86
0,[ 200 2499 7587 9322 5999 2318  562   79    4],9,87
0,[  200  2974 12284 22336 23561 17144  9371  3973  1294   304    45     3],12,88
0,[ 200 2685 8477 9949 5354 1408  178   10],8,89
0,[ 200 2598 7632 8343 4438 1265  189   13],8,90
0,[  200  3281 14530 24980 19529  7699  1733   244    17],9,91
0,[  200  3164 13238 22255 18737  8963  2516   378    21],9,92
0,"[    200    4616   39740  178722  493747  922525 1236665 1229525  920135
  519134  218945   67819   14987    2250     208       9]",16,93
0,"[   200   4253  30863 106753 206306 244448 187990  96594  33435   7739
   1191    126      8]",13,94
0,"[   200   3470  20341  60412 107164 121143  89912  44967  15712   3981
    716     78      4]",13,95
0,[  200  2939 12101 21525 19892 10012  2625   317    16],9,96
0,[  200  4160 25058 63401 81352 58629 24871  6100   788    47     1],11,97
0,[  200  2646 10724 19597 19314 11350  4259  1069   180    17],10,98
0,[ 200 2362 6477 6557 2909  486   16],7,99
0,[  200  3039 12788 22641 22365 15371  8140  3376  1080   256    40     3],12,100
0,"[   200   3786  23971  75352 145539 198232 204545 162720  98524  44258
  14232   3096    409     25]",14,101
0,[  200  3428 16409 34591 40719 30514 15557  5434  1244   167    10],11,102
0,"[   200   4180  32889 137164 351362 597859 705552 590488 353571 151163
  45366   9171   1161     83      3]",15,103
0,"[     200     5215    55914   336121  1309673  3608071  7442373 11937902
 15250039 15730058 13195072  9027476  5035343  2280670   831181   239684
    53184     8689      974       66        2]",21,104
0,[  200  3539 19113 47759 69087 64567 40299 16710  4567   825    96     6],12,105
0,[  200  3072 13021 24061 24922 16562  7492  2315   454    45     1],11,106
0,"[   200   4425  31556 106605 208880 265729 232767 143238  61131  17300
   2990    278     12]",13,107
0,"[   200   4819  39415 156743 363704 548741 579748 454397 276442 134090
  51765  15356   3278    456     35      1]",16,108
0,"[   200   4387  32326 117791 259176 385194 409976 320361 184108  76370
  21905   4006    398     14]",14,109
0,[ 200 2588 7481 8424 5592 2683  886  170   14],9,110
0,[  200  2945 13499 31012 43021 38559 22571  8376  1834   203     8],11,111
0,"[    200    4637   39745  179470  506313  982527 1389817 1486082 1230109
  801637  416235  173135   57382   14827    2856     379      30       1]",18,112
0,"[     200     5097    52379   303993  1160676  3165878  6477672 10236739
 12706715 12499949  9779772  6081395  2990831  1151119   340123    74587
    11429     1088       48]",19,113
0,"[   200   4364  32195 118017 257783 371145 372309 267048 137684  50480
  12868   2214    244     14]",14,114
0,"[   200   3812  25469  85615 169694 217219 190130 117564  51939  16288
   3537    500     39      1]",14,115
0,[ 200 2501 7030 7732 4334 1455  309   31],8,116
