,num_simplices,max_order_simplex,index_study
0,"[   200   4108  25962  74289 116839 112143  69222  27857   7166   1134
    109      6]",12,74
0,"[   200   4870  38479 142345 299317 398023 354438 217712  93362  28035
   5970    918     92      4]",14,75
0,"[   200   4398  30418  96473 171680 192813 146827  79763  32189   9807
   2166    304     20]",13,76
0,"[   200   5050  43037 180884 451905 744265 861919 732411 468716 228462
  84575  23362   4637    619     50      2]",16,77
0,"[   200   5049  42885 173660 401187 588103 588768 427855 239077 108060
  40639  12605   3091    560     67      4]",16,78
0,[  200  3479 16424 33233 37312 27499 14985  6422  2134   503    73     5],12,79
0,[ 200 2581 7877 8603 4169  995  119    4],8,80
0,"[   200   3954  25645  79412 140182 155089 113007  55419  18199   3831
    457     21]",12,81
0,[  200  2921 10615 15877 12669  5842  1550   228    17],9,82
0,[  200  3003 12133 21117 19589 10728  3531   651    56     1],10,83
0,"[   200   4386  30987 104943 213190 296243 301807 232241 134659  57255
  17061   3328    376     18]",14,84
0,[  200  3833 20662 47977 61176 49546 27546 10874  3046   578    65     3],12,85
0,[  200  3174 11852 16253 10691  3793   664    47],8,86
0,"[   200   3464  20109  59462 108220 134361 119788  78284  37623  13177
   3272    539     51      2]",14,87
0,[  200  3016 11640 19316 17691  9784  3297   670    75     3],10,88
0,[  200  2964 10671 14654  9848  3668   725    54],8,89
0,[  200  2432  9212 16147 15356  9044  3660  1038   184    15],10,90
0,[ 200 2351 5753 4733 1673  288   21],7,91
0,[ 200 2080 3365 1227   97],5,92
0,[  200  2497  7997 10691  7860  3690  1179   253    29     1],10,93
0,[  200  3457 16581 33744 35794 21826  7821  1637   210    19     1],11,94
0,[  200  3270 12885 18711 12311  4202   854   126    11],9,95
0,[ 200 2491 6804 7502 4670 1940  499   65    3],9,96
0,[  200  2628  8789 13599 13076  8687  3959  1165   198    15],10,97
0,[  200  2904  9409 11001  5769  1454   186    14],8,98
0,[ 200 1950 3105 1433  360   57    4],7,99
0,[  200  3582 16774 30800 27883 14240  4279   740    65     2],10,100
0,[  199  3121 10165 11267  5581  1386   184    14     1],9,101
0,[  200  2629  8637 11320  7552  2903   678    87     2],9,102
0,[ 200 1592 2358 1236  311   38],6,103
0,[  200  2895  9962 12158  6369  1562   157],7,104
0,[  200  2813  8586 11091  7870  3213   721    72],8,105
0,[  200  2556  8152 11037  7964  3358   858   124     8],9,106
0,[  200  2465  9327 17379 18936 13285  6365  2148   504    74     5],11,107
0,"[   200   5098  44635 182422 408074 560312 521546 361541 201358  92228
  33473   8978   1616    164      6]",15,108
0,"[   200   4369  32859 124742 283623 421681 429928 307146 153782  52795
  11792   1534     88]",13,109
0,"[    200    4858   43591  200761  552265  990523 1219791 1061619  662225
  297399   95989   22093    3537     363      18]",15,110
0,[  200  2989 13601 29606 37386 30483 17061  6702  1832   344    41     2],12,111
0,[  200  2891 10689 16290 12307  5044  1291   241    29     1],10,112
0,"[   200   4720  33634 101408 156135 137562  74509  25746   5600    713
     44]",11,113
0,[  200  3637 18731 39487 41181 23405  7446  1353   160    16     1],11,114
0,[  200  3407 14866 25746 22246 11187  4053  1236   295    45     3],11,115
0,"[     200     5389    57366   334970  1248446  3237772  6179587  9025318
 10368704  9545268  7117988  4317310  2125934   843549   265935    65041
    11855     1502      116        4]",20,116
0,"[    200    4903   46626  230207  671619 1254332 1577665 1381812  863014
  391156  130045   31529    5336     563      28]",15,117
0,"[   200   5284  42001 144029 258191 272340 182039  80535  24248   5055
    704     50]",12,118
0,"[    200    5756   57700  279870  780326 1387022 1672847 1415338  849650
  359513  104622   19989    2319     142       3]",15,119
0,"[    200    5026   47999  245037  790969 1771626 2904837 3602324 3452174
 2593306 1539039  721599  264494   73899   15025    2050     161       5]",18,120
0,"[   200   4954  42112 171757 402255 615553 683024 587301 398910 211993
  86749  26975   6295   1064    116      6]",16,121
0,[  200  3394 17170 40086 53890 46034 25897  9555  2227   308    24     1],12,122
0,"[   200   4338  28461  81049 120390 103783  55121  18292   3622    368
     12]",11,123
0,"[   200   4331  28848  87097 148170 162966 124573  67562  25526   6344
    923     59]",12,124
0,"[    200    4982   43630  190129  504620  931115 1303358 1450971 1301946
  934730  528000  229201   73883   16754    2437     190       5]",17,125
0,"[   200   5426  47704 191959 430751 609728 587437 403352 202905  75620
  20533   3830    435     22]",14,126
0,"[   200   3903  23428  68382 120682 139887 108025  54888  17738   3389
    323      8]",12,127
0,"[   200   3995  27573  96142 204118 296400 318424 265309 174865  91085
  36849  11176   2387    319     20]",15,128
0,[  200  3832 21691 54708 74559 60623 30977 10233  2217   303    22],11,129
0,[  200  3960 22168 52625 64836 46654 20717  5686   907    74     2],11,130
0,"[    200    5099   46822  220175  634921 1253952 1824624 2052116 1835289
 1322299  768400  357346  130954   36903    7690    1109      98       4]",18,131
0,"[   200   3411  20990  67421 134756 185984 188370 143530  81865  33983
   9756   1779    175      6]",14,132
0,[  200  3141 15217 34171 41913 30566 14012  4177   803    86     3],11,133
0,[  200  3949 21333 47600 54841 37154 15818  4233   656    46],10,134
0,[  200  3845 20780 49450 65990 57043 35054 16245  5783  1508   251    20],12,135
0,[  200  3355 15086 29569 32372 21869  9161  2321   338    22],10,136
0,[  200  3558 17836 39400 48049 36797 19197  7083  1816   291    24     1],12,137
0,"[    200    3982   31322  136000  376524  720363 1001836 1047283  841854
  528515  261738  102668   31712    7530    1301     146       8]",17,138
0,"[   200   4657  36573 143336 346088 580597 724652 700361 536758 330351
 164032  65539  20756   5009    851     88      4]",17,139
0,[  200  4180 25567 66053 87044 65580 30344  8929  1681   192    11],11,140
0,"[    200    4784   42840  197733  537962  921976 1027262  750998  357384
  108223   20100    2186     136       4]",14,141
0,"[   200   4339  31799 113790 240721 337100 334446 244278 133063  53496
  15418   3037    375     23]",14,142
0,"[   200   4375  33848 136541 349509 634033 863427 903860 729299 448480
 205392  67511  15023   2051    142      3]",16,143
0,"[   200   4805  40758 173884 440595 729134 836125 688807 414751 182234
  57057  12065   1544     90]",14,144
0,[  200  4023 20504 41428 43023 26746 10812  2900   498    52     3],11,145
0,"[    200    4672   38908  171965  481669  929852 1288792 1309967  986913
  551958  226877   66817   13444    1690     109       2]",16,146
0,[  200  3768 19783 43370 49601 33835 14908  4398   850    95     4],11,147
0,"[   200   3822  26435  96353 216529 322295 329635 236996 121802  45324
  12242   2341    289     17]",14,148
0,[  200  3392 16073 31831 31589 17272  5475  1062   137     9],10,149
0,"[    200    4332   36219  162404  452685  849579 1122680 1067695  734219
  361855  125248   29547    4581     444      22]",15,150
0,"[     200     5453    61594   395482  1669744  5039323 11465585 20363038
 28862577 33077801 30845446 23428817 14442090  7164308  2820849   863627
   199556    33282     3722      241        6]",21,151
0,"[   200   4721  38033 150040 344999 510523 514527 363652 181835  63850
  15389   2436    233     11]",14,152
0,"[   200   3933  27801 102418 231742 351087 374166 288924 163843  67727
  19658   3705    393     17]",14,153
0,"[   200   5126  42975 172665 404888 624146 682788 555602 344221 163126
  58561  15579   2964    380     29      1]",16,154
0,"[    200    4836   42170  189433  518022  942557 1195483 1078432  694193
  315817   99155   20569    2624     183       5]",15,155
0,"[    200    5143   49167  240839  703431 1339867 1763135 1663595 1150624
  588612  221278   59469   10787    1181      59]",15,156
