,num_simplices,normalized_simplices,max_order_simplex,index_study
0,"[   200   4104  25130  70933 115378 121210  86295  41586  13014   2442
    239     10]","[1.00000000e+00 2.06231156e-01 1.91335465e-02 1.09659202e-03
 4.55023360e-05 1.47084117e-06 3.77841162e-08 7.54750592e-10
 1.10715493e-11 1.08770190e-13 6.16312835e-16 1.63727923e-18]",12,0
1,"[   200   4214  27797  84517 145008 157598 116073  60150  22120   5661
    958     96      4]","[1.00000000e+00 2.11758794e-01 2.11641541e-02 1.30659450e-03
 5.71877024e-05 1.91239688e-06 5.08223619e-08 1.09167143e-09
 1.88184009e-11 2.52149076e-13 2.47040877e-15 1.57178806e-17
 4.52864468e-20]",13,1
2,[ 200 1966 4374 3364 1131  198   16],"[1.00000000e+00 9.87939698e-02 3.33028780e-03 5.20059148e-05
 4.46039470e-07 2.40266109e-09 7.00557228e-12]",7,2
3,"[   200   3967  28225 102430 221670 311480 299977 206216 104862  40620
  12086   2660    387     28]","[1.00000000e+00 1.99346734e-01 2.14900259e-02 1.58352136e-03
 8.74213699e-05 3.77970140e-06 1.31344410e-07 3.74264532e-09
 8.92104501e-11 1.80927318e-12 3.11663469e-14 4.35516275e-16
 4.38146373e-18 2.37330042e-20]",14,3
4,[  200  2658  9126 13095  9962  4415  1116   149    10],"[1.00000000e+00 1.33567839e-01 6.94837825e-03 2.02442763e-04
 3.92877560e-06 5.35744885e-08 4.88638666e-10 2.70422349e-12
 8.50741452e-15]",9,4
5,"[  200  3071 15604 39165 58785 58713 41593 21787  8657  2620   583    85
     6]","[1.00000000e+00 1.54321608e-01 1.18806152e-02 6.05473143e-04
 2.31834043e-05 7.12461821e-07 1.82114230e-08 3.95415552e-10
 7.36486875e-12 1.16698566e-13 1.50339072e-15 1.39168735e-17
 6.79296702e-20]",13,5
6,[  200  2662  9091 12070  7632  2638   592    98     9],"[1.00000000e+00 1.33768844e-01 6.92172986e-03 1.86596728e-04
 3.00987908e-06 3.20112119e-08 2.59206174e-10 1.77861680e-12
 7.65667307e-15]",9,6
7,[  200  2660  8482 10754  7555  3583  1177   243    24],"[1.00000000e+00 1.33668342e-01 6.45804781e-03 1.66251964e-04
 2.97951211e-06 4.34784580e-08 5.15347410e-10 4.41024369e-12
 2.04177948e-14]",9,7
8,[  200  2643  8553 10854  7112  2785   719   130    12],"[1.00000000e+00 1.32814070e-01 6.51210598e-03 1.67797919e-04
 2.80480346e-06 3.37950058e-08 3.14812904e-10 2.35938963e-12
 1.02088974e-14]",9,8
9,[  200  2670  8601 10587  6140  1819   263    15],"[1.00000000e+00 1.34170854e-01 6.54865235e-03 1.63670220e-04
 2.42146980e-06 2.20729319e-08 1.15154094e-10 2.72237265e-13]",8,9
10,[ 200 2190 4035 2234  696  176   32    3],"[1.00000000e+00 1.10050251e-01 3.07217908e-03 3.45366271e-05
 2.74485828e-07 2.13569875e-09 1.40111446e-11 5.44474529e-14]",8,10
11,[ 200 2079 4847 4003 1480  304   31    1],"[1.00000000e+00 1.04472362e-01 3.69042181e-03 6.18845651e-05
 5.83676760e-07 3.68893420e-09 1.35732963e-11 1.81491510e-14]",8,11
12,"[   200   3921  29912 123573 318550 555861 695307 651607 472748 271075
 123692  44469  12206   2403    301     18]","[1.00000000e+00 1.97035176e-01 2.27744785e-02 1.91038255e-03
 1.25628535e-04 6.74517978e-06 3.04438965e-07 1.18261138e-08
 4.02186320e-10 1.20740701e-11 3.18966390e-13 7.28081701e-15
 1.38191592e-16 2.03680033e-18 2.05749835e-20 1.06412773e-22]",16,12
13,[  200  3003 11496 18428 16906 10552  4516  1242   195    13],"[1.00000000e+00 1.50904523e-01 8.75285519e-03 2.84888525e-04
 6.66732386e-06 1.28044848e-07 1.97732277e-09 2.25412455e-11
 1.65894583e-13 5.79038684e-16]",10,13
14,[  200  3110 13238 23694 22287 12224  4028   794    91     5],"[1.00000000e+00 1.56281407e-01 1.00791838e-02 3.66298498e-04
 8.78946213e-06 1.48333986e-07 1.76365282e-09 1.44104259e-11
 7.74174721e-14 2.22707186e-16]",10,14
15,[ 200 2305 6035 6304 3505 1032  130],"[1.00000000e+00 1.15829146e-01 4.59494442e-03 9.74569819e-05
 1.38228854e-06 1.25229608e-08 5.69202747e-11]",7,15
16,[ 200 2548 7012 6283 2257  385   26],"[1.00000000e+00 1.28040201e-01 5.33881529e-03 9.71323314e-05
 8.90107059e-07 4.67184101e-09 1.13840549e-11]",7,16
17,[ 200 2493 7076 7313 3677 1021  150    8],"[1.00000000e+00 1.25276382e-01 5.38754378e-03 1.13055664e-04
 1.45012125e-06 1.23894797e-08 6.56772401e-11 1.45193208e-13]",8,17
18,[  200  2674  9588 15700 15899 11449  5946  2144   496    63     3],"[1.00000000e+00 1.34371859e-01 7.30013705e-03 2.42714882e-04
 6.27018703e-06 1.38929630e-07 2.60344580e-09 3.89117797e-11
 4.21967760e-13 2.80611055e-15 7.73614437e-18]",11,18
19,[ 200 2317 6840 8229 5151 1876  408   51    2],"[1.00000000e+00 1.16432161e-01 5.20785747e-03 1.27216609e-04
 2.03143175e-06 2.27646071e-08 1.78642093e-10 9.25606700e-13
 1.70148290e-15]",9,19
20,[ 200 2370 6240 6135 2919  690   57],"[1.00000000e+00 1.19095477e-01 4.75102787e-03 9.48443185e-05
 1.15118410e-06 8.37290986e-09 2.49573512e-11]",7,20
21,[ 200 2534 6839 6549 2895  645   75    4],"[1.00000000e+00 1.27336683e-01 5.20709609e-03 1.01244571e-04
 1.14171907e-06 7.82685052e-09 3.28386200e-11 7.25966039e-14]",8,21
22,"[   200   4027  25725  77627 134601 149141 112513  60660  24330   7318
   1560    205     12]","[1.00000000e+00 2.02361809e-01 1.95865692e-02 1.20007823e-03
 5.30834294e-05 1.80977413e-06 4.92636221e-08 1.10092750e-09
 2.06985395e-11 3.25954238e-13 4.02279507e-15 3.35642242e-17
 1.35859340e-19]",13,22
