,num_simplices,normalized_simplices,max_order_simplex,index_study
23,"[   200   3921  26805  92281 190054 257931 243902 165101  80312  27644
   6524   1012     98      5]","[1.00000000e+00 1.97035176e-01 2.04088625e-02 1.42662242e-03
 7.49527723e-05 3.12990292e-06 1.06792068e-07 2.99644297e-09
 6.83247475e-11 1.23130349e-12 1.68235353e-14 1.65692658e-16
 1.10951795e-18 4.23803647e-21]",14,23
24,"[   200   4151  31609 129124 334058 596027 768952 736329 529459 285892
 114745  33545   6916    953     79      3]","[1.00000000e+00 2.08592965e-01 2.40665448e-02 1.99619850e-03
 1.31744521e-04 7.23258021e-06 3.36684301e-07 1.33637462e-08
 4.50432718e-10 1.27340406e-11 2.95894628e-13 5.49225318e-15
 7.83002666e-17 8.07769751e-19 5.40007872e-21 1.77354621e-23]",16,24
25,[  200  2910 10400 14853 10599  4020   761    56     2],"[1.00000000e+00 1.46231156e-01 7.91837978e-03 2.29620646e-04
 4.17999323e-06 4.87813009e-08 3.33202531e-10 1.01635245e-12
 1.70148290e-15]",9,25
26,[ 200 2271 5453 4621 1721  294   19],"[1.00000000e+00 1.14120603e-01 4.15181970e-03 7.14385649e-05
 6.78721422e-07 3.56758768e-09 8.31911708e-12]",7,26
27,[ 200 2229 6089 7175 4970 2283  685  119    9],"[1.00000000e+00 1.12010050e-01 4.63605908e-03 1.10922247e-04
 1.96004966e-06 2.77034105e-08 2.99926063e-10 2.15974897e-12
 7.65667307e-15]",9,27
28,[ 200 2085 5211 4891 2159  479   52    2],"[1.00000000e+00 1.04773869e-01 3.96756510e-03 7.56126425e-05
 8.51458193e-07 5.81249830e-09 2.27681099e-11 3.62983019e-14]",8,28
29,[  200  2639  8475 10256  5893  1718   256    16],"[1.00000000e+00 1.32613065e-01 6.45271814e-03 1.58553110e-04
 2.32405888e-06 2.08473321e-08 1.12089156e-10 2.90386416e-13]",8,29
30,"[   200   3814  24981  87101 195360 304849 342838 282428 171003  75512
  23856   5204    734     59      2]","[1.00000000e+00 1.91658291e-01 1.90201005e-02 1.34654197e-03
 7.70453323e-05 3.69923652e-06 1.50111024e-07 5.12582841e-09
 1.45479340e-10 3.36341301e-12 6.15178200e-14 8.52040112e-16
 8.31006299e-18 5.00088303e-20 1.36710854e-22]",15,30
31,[  200  2833 10344 15977 13919  8429  3899  1283   253    22],"[1.00000000e+00 1.42361809e-01 7.87574235e-03 2.46997176e-04
 5.48932218e-06 1.02282982e-07 1.70717039e-09 2.32853607e-11
 2.15237587e-13 9.79911620e-16]",10,31
32,[  200  2487  7968 10636  7443  2966   694   100     8],"[1.00000000e+00 1.24974874e-01 6.06669712e-03 1.64427738e-04
 2.93534198e-06 3.59913778e-08 3.03866697e-10 1.81491510e-12
 6.80593161e-15]",9,32
33,[  200  3316 16230 35093 41098 29017 12566  3130   376    13],"[1.00000000e+00 1.66633166e-01 1.23572407e-02 5.42521869e-04
 1.62080726e-05 3.52111196e-07 5.50200133e-09 5.68068425e-11
 3.19878786e-13 5.79038684e-16]",10,33
34,[  200  3558 18268 41904 52402 39387 18416  5247   838    65     2],"[1.00000000e+00 1.78793970e-01 1.39089386e-02 6.47816841e-04
 2.06661011e-05 4.77947537e-07 8.06341369e-09 9.52285951e-11
 7.12921337e-13 2.89519342e-15 5.15742958e-18]",11,34
35,[  200  2721  8974 11547  7055  2200   336    18],"[1.00000000e+00 1.36733668e-01 6.83264809e-03 1.78511385e-04
 2.78232402e-06 2.66962343e-08 1.47117018e-10 3.26684717e-13]",8,35
36,[  200  2686  9429 13762 10322  4334  1059   157    12],"[1.00000000e+00 1.34974874e-01 7.17907720e-03 2.12754281e-04
 4.07075103e-06 5.25915817e-08 4.63681315e-10 2.84941670e-12
 1.02088974e-14]",9,36
37,"[  200  3599 18743 43939 59972 55568 38396 20878  9064  3073   762   121
     9]","[1.00000000e+00 1.80854271e-01 1.42705954e-02 6.79277019e-04
 2.36515288e-05 6.74298341e-07 1.68116221e-08 3.78917974e-10
 7.71112052e-12 1.36875837e-13 1.96498067e-15 1.98110787e-17
 1.01894505e-19]",13,37
38,[  200  3450 16951 35154 36938 21893  7766  1675   209    11],"[1.00000000e+00 1.73366834e-01 1.29061977e-02 5.43464902e-04
 1.45674677e-05 2.65663936e-07 3.40032964e-09 3.03998279e-11
 1.77804963e-13 4.89955810e-16]",10,38
39,[  200  3343 17007 40360 54494 46464 26688 10726  3022   561    57     2],"[1.00000000e+00 1.67989950e-01 1.29488351e-02 6.23947301e-04
 2.14911361e-05 5.63824469e-07 1.16852946e-08 1.94667793e-10
 2.57094067e-12 2.49877463e-14 1.46986743e-16 3.27455846e-19]",12,39
40,"[   200   3646  21998  64182 109753 123777  99102  58910  26592   9052
   2215    353     31      1]","[1.00000000e+00 1.83216080e-01 1.67488960e-02 9.92224621e-04
 4.32839699e-05 1.50199082e-06 4.33916390e-08 1.06916648e-09
 2.26229167e-11 4.03189090e-13 5.71185326e-15 5.77959569e-17
 3.50969963e-19 8.47607293e-22]",14,40
41,[  200  2876  9923 13148  8693  3197   661    76     5],"[1.00000000e+00 1.44522613e-01 7.55520024e-03 2.03262119e-04
 3.42831221e-06 3.87944824e-08 2.89417705e-10 1.37933547e-12
 4.25370726e-15]",9,41
42,[  200  2949 10636 15145 11972  6499  2500   642    97     6],"[1.00000000e+00 1.48190955e-01 8.09806609e-03 2.34134834e-04
 4.72147174e-06 7.88631032e-08 1.09462067e-09 1.16517549e-11
 8.25219208e-14 2.67248624e-16]",10,42
43,[  200  2871 10892 18098 17012 10063  3797   879   112     5],"[1.00000000e+00 1.44271357e-01 8.29298005e-03 2.79786875e-04
 6.70912773e-06 1.22111003e-07 1.66250987e-09 1.59531037e-11
 9.52830426e-14 2.22707186e-16]",10,43
44,[  200  3166 13387 24297 23652 13528  4587   825    52],"[1.00000000e+00 1.59095477e-01 1.01926298e-02 3.75620604e-04
 9.32778563e-06 1.64157572e-07 2.00841000e-09 1.49730496e-11
 4.42385555e-14]",9,44
45,"[   200   4119  26848  81967 143741 161982 124509  67567  26327   7316
   1407    175     11]","[1.00000000e+00 2.06984925e-01 2.04416019e-02 1.26717266e-03
 5.66880278e-05 1.96559520e-06 5.45160499e-08 1.22628368e-09
 2.23974702e-11 3.25865155e-13 3.62825171e-15 2.86523865e-17
 1.24537729e-19]",13,45
46,[  200  3133 14297 28125 30134 20669  9881  3320   736    95     5],"[1.00000000e+00 1.57437186e-01 1.08854880e-02 4.34799749e-04
 1.18841321e-05 2.50811122e-07 4.32637873e-09 6.02551812e-11
 6.26145709e-13 4.23143654e-15 1.28935739e-17]",11,46
47,"[   200   4035  30064 115968 270377 416300 447198 345479 193336  77309
  21443   3950    448     25]","[1.00000000e+00 2.02763819e-01 2.28902086e-02 1.79281270e-03
 1.06630251e-04 5.05165562e-06 1.95804869e-07 6.27015053e-09
 1.64478949e-10 3.44345397e-12 5.52953812e-14 6.46725296e-16
 5.07208204e-18 2.11901823e-20]",14,47
48,[ 200 2165 4561 3112  901  108    3],"[1.00000000e+00 1.08793970e-01 3.47266636e-03 4.81101091e-05
 3.55332946e-07 1.31054241e-09 1.31354480e-12]",7,48
49,[  200  3130 12952 23484 23621 14539  5572  1268   149     6],"[1.00000000e+00 1.57286432e-01 9.86142835e-03 3.63051993e-04
 9.31555997e-06 1.76425705e-07 2.43969054e-09 2.30131234e-11
 1.26760476e-13 2.67248624e-16]",10,49
50,[ 200 2403 5403 3770 1126  197   30    3],"[1.00000000e+00 1.20753769e-01 4.11375057e-03 5.82824907e-05
 4.44067589e-07 2.39052644e-09 1.31354480e-11 5.44474529e-14]",8,50
51,[  200  3338 15580 31795 36349 26346 12369  3566   538    27],"[1.00000000e+00 1.67738693e-01 1.18623420e-02 4.91536285e-04
 1.43351801e-05 3.19699541e-07 5.41574522e-09 6.47198724e-11
 4.57698901e-13 1.20261881e-15]",10,51
52,[  200  3463 17362 36686 40382 26091 10317  2464   334    20],"[1.00000000e+00 1.74020101e-01 1.32191259e-02 5.67148927e-04
 1.59256993e-05 3.16605205e-07 4.51728057e-09 4.47195080e-11
 2.84147645e-13 8.90828745e-16]",10,52
53,[  200  3181 13854 25183 23211 11856  3446   553    40     1],"[1.00000000e+00 1.59849246e-01 1.05481955e-02 3.89317762e-04
 9.15386573e-06 1.43868434e-07 1.50882513e-09 1.00364805e-11
 3.40296581e-14 4.45414373e-17]",10,53
54,[ 200 2063 3884 2312  615   88    6],"[1.00000000e+00 1.03668342e-01 2.95721029e-03 3.57424718e-05
 2.42541356e-07 1.06784937e-09 2.62708960e-12]",7,54
55,"[  200  3447 19284 52449 83914 88023 63858 32500 11470  2782   469    53
     3]","[1.00000000e+00 1.73216080e-01 1.46825034e-02 8.10837761e-04
 3.30936835e-05 1.06812847e-06 2.79601146e-08 5.89847407e-10
 9.75800445e-12 1.23914278e-13 1.20941724e-15 8.67757993e-18
 3.39648351e-20]",13,55
56,[  200  3276 14642 27783 27900 16495  6049  1447   238    25     1],"[1.00000000e+00 1.64623116e-01 1.11481651e-02 4.29512584e-04
 1.10030957e-05 2.00161084e-07 2.64854417e-09 2.62618215e-11
 2.02476466e-13 1.11353593e-15 2.57871479e-18]",11,56
57,[  200  3313 15500 30594 30389 16498  5059   868    76     1],"[1.00000000e+00 1.66482412e-01 1.18014314e-02 4.72969369e-04
 1.19846980e-05 2.00197488e-07 2.21507438e-09 1.57534630e-11
 6.46563503e-14 4.45414373e-17]",10,57
58,[  200  3262 15654 33042 36722 23225  8474  1694   148],"[1.00000000e+00 1.63919598e-01 1.19186843e-02 5.10814339e-04
 1.44822824e-05 2.81827292e-07 3.71032622e-09 3.07446617e-11
 1.25909735e-13]",9,58
59,[  199  2389  7972 11160  7905  3056   643    58],"[9.95000000e-01 1.20050251e-01 6.06974265e-03 1.72528540e-04
 3.11754378e-06 3.70834964e-08 2.81536436e-10 1.05265076e-12]",8,59
60,[  200  2711  9098 11601  7503  3086   838   131     9],"[1.00000000e+00 1.36231156e-01 6.92705954e-03 1.79346200e-04
 2.95900455e-06 3.74475360e-08 3.66916848e-10 2.37753878e-12
 7.65667307e-15]",9,60
61,[  200  3121 13675 26511 29352 21675 11629  4614  1269   208    14],"[1.00000000e+00 1.56834171e-01 1.04119080e-02 4.09848040e-04
 1.15757299e-05 2.63018582e-07 5.09173750e-09 8.37401826e-11
 1.07959090e-12 9.26461895e-15 3.61020070e-17]",11,61
62,[  200  2875 10338 15407 12784  7151  2963   925   198    20],"[1.00000000e+00 1.44472362e-01 7.87117405e-03 2.38185235e-04
 5.04170520e-06 8.67748963e-08 1.29734442e-09 1.67879646e-11
 1.68446807e-13 8.90828745e-16]",10,62
63,[ 200 2441 6106 5163 2214  666  143   15],"[1.00000000e+00 1.22663317e-01 4.64900259e-03 7.98176392e-05
 8.73148883e-07 8.08167822e-09 6.26123022e-11 2.72237265e-13]",8,63
64,[ 200 2305 5511 5096 2481  749  148   14],"[1.00000000e+00 1.15829146e-01 4.19597990e-03 7.87818496e-05
 9.78447325e-07 9.08885433e-09 6.48015435e-11 2.54088114e-13]",8,64
65,"[   200   4090  28475  96767 192095 247702 221300 142146  66649  22537
   5227    751     57      2]","[1.00000000e+00 2.05527638e-01 2.16803716e-02 1.49597395e-03
 7.57576941e-05 3.00577756e-06 9.68958215e-08 2.57982921e-09
 5.67010670e-11 1.00383037e-12 1.34789422e-14 1.22959670e-16
 6.45331867e-19 1.69521459e-21]",14,65
66,[  200  3285 14891 27629 26115 14476  5223  1317   228    20],"[1.00000000e+00 1.65075377e-01 1.13377494e-02 4.27131814e-04
 1.02991342e-05 1.75661222e-07 2.28688150e-09 2.39024318e-11
 1.93969051e-13 8.90828745e-16]",10,66
67,[  200  3257 13477 21155 16459  8157  2975   742   106     6],"[1.00000000e+00 1.63668342e-01 1.02611543e-02 3.27046709e-04
 6.49103770e-06 9.89823562e-08 1.30259859e-09 1.34666700e-11
 9.01785939e-14 2.67248624e-16]",10,67
68,[ 200 2622 7480 7499 3403  756   77    3],"[1.00000000e+00 1.31758794e-01 5.69514238e-03 1.15931140e-04
 1.34206217e-06 9.17379689e-09 3.37143166e-11 5.44474529e-14]",8,68
69,[  200  3048 11875 18672 15892  8895  3601  1082   232    32     2],"[1.00000000e+00 1.53165829e-01 9.04141922e-03 2.88660654e-04
 6.26742640e-06 1.07937729e-07 1.57669161e-09 1.96373814e-11
 1.97372017e-13 1.42532599e-15 5.15742958e-18]",11,69
70,[  200  3872 22871 57651 75601 59959 32456 12812  3644   683    72     3],"[1.00000000e+00 1.94572864e-01 1.74135831e-02 8.91258322e-04
 2.98152343e-05 7.27581598e-07 1.42108034e-08 2.32526922e-10
 3.10010185e-12 3.04218017e-14 1.85667465e-16 4.91183769e-19]",12,70
71,[  200  3644 19761 46590 58070 42864 20032  6115  1224   156    10],"[1.00000000e+00 1.83115578e-01 1.50456830e-02 7.20260277e-04
 2.29014253e-05 5.20139722e-07 8.77097649e-09 1.10982058e-10
 1.04130754e-12 6.94846421e-15 2.57871479e-17]",11,71
72,[  200  3623 18009 39391 49776 41996 24664  9725  2354   291    10],"[1.00000000e+00 1.82060302e-01 1.37117405e-02 6.08967001e-04
 1.96304692e-05 5.09606844e-07 1.07990897e-08 1.76500493e-10
 2.00264538e-12 1.29615582e-14 2.57871479e-17]",11,72
73,[  200  3987 23891 63062 89864 77540 43345 16252  4034   599    40],"[1.00000000e+00 2.00351759e-01 1.81901934e-02 9.74909929e-04
 3.54402219e-05 9.40920914e-07 1.89785331e-08 2.94960002e-10
 3.43189102e-12 2.66803209e-14 1.03148592e-16]",11,73
74,[  200  3383 16244 33812 37556 24835 10319  2712   435    36     1],"[1.00000000e+00 1.70000000e-01 1.23679001e-02 5.22718190e-04
 1.48111922e-05 3.01364082e-07 4.51815627e-09 4.92204974e-11
 3.70072532e-13 1.60349174e-15 2.57871479e-18]",11,74
75,"[  200  4011 23734 62996 93786 88762 57287 26357  8900  2251   429    58
     4]","[1.00000000e+00 2.01557789e-01 1.80706563e-02 9.73889599e-04
 3.69869653e-05 1.07709598e-06 2.50830137e-08 4.78357172e-10
 7.57159892e-12 1.00262775e-13 1.10626864e-15 9.49621954e-18
 4.52864468e-20]",13,75
76,[  200  3623 18954 44031 56318 44218 22504  7581  1689   242    21     1],"[1.00000000e+00 1.82060302e-01 1.44312471e-02 6.80699297e-04
 2.22104782e-05 5.36570041e-07 9.85333740e-09 1.37588714e-10
 1.43690231e-12 1.07790278e-14 5.41530106e-17 1.63727923e-19]",12,76
77,"[   200   4159  27246  84752 154266 187381 166242 113528  60971  25795
   8482   2097    366     40      2]","[1.00000000e+00 2.08994975e-01 2.07446323e-02 1.31022749e-03
 6.08388372e-05 2.27380322e-06 7.27887716e-08 2.06043681e-09
 5.18705571e-11 1.14894637e-12 2.18726588e-14 3.43337455e-16
 4.14370988e-18 3.39042917e-20 1.36710854e-22]",15,77
78,"[   200   4159  26453  74729 112887 102150  60126  24512   7122   1411
    165      8]","[1.00000000e+00 2.08994975e-01 2.01408558e-02 1.15527646e-03
 4.45199449e-05 1.23955470e-06 2.63260649e-08 4.44871989e-10
 6.05898062e-12 6.28479680e-14 4.25487940e-16 1.30982338e-18]",12,78
79,[  200  2864 10020 13863 10068  4775  1654   377    46     2],"[1.00000000e+00 1.43919598e-01 7.62905436e-03 2.14315695e-04
 3.97057947e-06 5.79429632e-08 7.24201034e-10 6.84222992e-12
 3.91341068e-14 8.90828745e-17]",10,79
80,[ 200 2126 4735 3303  895  110    6],"[1.00000000e+00 1.06834171e-01 3.60514695e-03 5.10628825e-05
 3.52966689e-07 1.33481172e-09 2.62708960e-12]",7,80
81,[  200  3256 15917 34610 39806 26389 10497  2501   331    17],"[1.00000000e+00 1.63618090e-01 1.21189280e-02 5.35054908e-04
 1.56985386e-05 3.20221331e-07 4.59609326e-09 4.53910266e-11
 2.81595421e-13 7.57204434e-16]",10,81
82,[ 200 2406 6646 7340 4150 1229  173    7],"[1.00000000e+00 1.20904523e-01 5.06014923e-03 1.13473072e-04
 1.63666119e-06 1.49134873e-08 7.57477502e-11 1.27044057e-13]",8,82
83,[ 200 2473 7755 9953 6569 2479  547   63    2],"[1.00000000e+00 1.24271357e-01 5.90452261e-03 1.53868867e-04
 2.59065719e-06 3.00818022e-08 2.39503002e-10 1.14339651e-12
 1.70148290e-15]",9,83
84,[  200  3612 18808 44428 61281 56748 37488 17660  5677  1142   121     4],"[1.00000000e+00 1.81507538e-01 1.43200853e-02 6.86836737e-04
 2.41677673e-05 6.88617230e-07 1.64140558e-08 3.20514006e-10
 4.82965922e-12 5.08663214e-14 3.12024489e-16 6.54911692e-19]",12,84
85,[  200  3157 12686 20799 18026  9336  2987   557    55     2],"[1.00000000e+00 1.58643216e-01 9.65890056e-03 3.21543110e-04
 7.10902519e-06 1.13289111e-07 1.30785277e-09 1.01090771e-11
 4.67907798e-14 8.90828745e-17]",10,85
86,[ 200 2616 7234 6960 3157  681   57    3],"[1.00000000e+00 1.31457286e-01 5.50784224e-03 1.07598444e-04
 1.24504563e-06 8.26369800e-09 2.49573512e-11 5.44474529e-14]",8,86
87,[  200  2853 13007 29550 39983 34942 20171  7523  1682   184     4],"[1.00000000e+00 1.43366834e-01 9.90330440e-03 4.56829603e-04
 1.57683432e-05 4.24009009e-07 8.83183740e-09 1.36536063e-10
 1.43094712e-12 8.19562446e-15 1.03148592e-17]",11,87
88,[ 200 2485 7154 8431 5278 2009  496   73    5],"[1.00000000e+00 1.24874372e-01 5.44693163e-03 1.30339438e-04
 2.08151753e-06 2.43785158e-08 2.17172741e-10 1.32488802e-12
 4.25370726e-15]",9,88
89,[ 200 2442 6355 5688 2169  424   41    2],"[1.00000000e+00 1.22713568e-01 4.83858687e-03 8.79339012e-05
 8.55401954e-07 5.14509244e-09 1.79517790e-11 3.62983019e-14]",8,89
90,[ 200 2004 5526 6579 3944 1292  238   26    2],"[1.00000000e+00 1.00703518e-01 4.20740064e-03 1.01708357e-04
 1.55541969e-06 1.56779704e-08 1.04207888e-10 4.71877925e-13
 1.70148290e-15]",9,90
91,[ 200 1935 3466 1905  430   40],"[1.00000000e+00 9.72361809e-02 2.63895234e-03 2.94504363e-05
 1.69581761e-07 4.85386079e-10]",6,91
92,[ 200 1717 1906  426   20],"[1.00000000e+00 8.62814070e-02 1.45119537e-03 6.58576686e-06
 7.88752378e-09]",5,92
93,[ 200 2056 4849 4491 2081  507   62    3],"[1.00000000e+00 1.03316583e-01 3.69194457e-03 6.94288239e-05
 8.20696850e-07 6.15226855e-09 2.71465926e-11 5.44474529e-14]",8,93
94,[  200  2847 10120 14108  9578  3328   549    32],"[1.00000000e+00 1.43065327e-01 7.70519263e-03 2.18103284e-04
 3.77733514e-06 4.03841218e-08 2.40378699e-10 5.80772831e-13]",8,94
95,[ 200 2695 7660 7476 3100  583   49    1],"[1.00000000e+00 1.35427136e-01 5.83219126e-03 1.15575571e-04
 1.22256619e-06 7.07450210e-09 2.14545651e-11 1.81491510e-14]",8,95
96,[ 200 2051 4122 3281 1487  427   79   12    1],"[1.00000000e+00 1.03065327e-01 3.13841937e-03 5.07227725e-05
 5.86437393e-07 5.18149639e-09 3.45900131e-11 2.17789812e-13
 8.50741452e-16]",9,96
97,[ 200 2164 5324 6054 4385 2154  665  117    9],"[1.00000000e+00 1.08743719e-01 4.05360134e-03 9.35920952e-05
 1.72933959e-06 2.61380404e-08 2.91169098e-10 2.12345066e-12
 7.65667307e-15]",9,97
98,[ 200 2392 5813 4899 1759  280   21],"[1.00000000e+00 1.20201005e-01 4.42591747e-03 7.57363189e-05
 6.93707717e-07 3.39770255e-09 9.19481361e-12]",7,98
99,[ 200 1606 1903  574   91    5],"[1.00000000e+00 8.07035176e-02 1.44891122e-03 8.87377976e-06
 3.58882332e-08 6.06732599e-11]",6,99
100,[  200  2952 10640 14988 10475  4025   832    79     3],"[1.00000000e+00 1.48341709e-01 8.10111162e-03 2.31707685e-04
 4.13109058e-06 4.88419742e-08 3.64289758e-10 1.43378293e-12
 2.55222436e-15]",9,100
101,[ 199 2570 6183 4929 1780  338   46    5],"[9.95000000e-01 1.29145729e-01 4.70762905e-03 7.62001053e-05
 7.01989617e-07 4.10151237e-09 2.01410203e-11 9.07457549e-14]",8,101
102,[ 200 2164 5294 4896 2264  582   70    2],"[1.00000000e+00 1.08743719e-01 4.03075986e-03 7.56899402e-05
 8.92867692e-07 7.06236745e-09 3.06493787e-11 3.62983019e-14]",8,102
103,[ 200 1312 1368  469   69    3],"[1.00000000e+00 6.59296482e-02 1.04157149e-03 7.25052736e-06
 2.72119571e-08 3.64039559e-11]",6,103
104,[ 200 2384 6093 4993 1545  176    5],"[1.00000000e+00 1.19798995e-01 4.63910461e-03 7.71895163e-05
 6.09311212e-07 2.13569875e-09 2.18924134e-12]",7,104
105,[ 200 2317 5493 5364 2869  932  188   18],"[1.00000000e+00 1.16432161e-01 4.18227501e-03 8.29250081e-05
 1.13146529e-06 1.13094956e-08 8.23154742e-11 3.26684717e-13]",8,105
106,[ 200 2105 4857 4372 1864  388   46    2],"[1.00000000e+00 1.05778894e-01 3.69803563e-03 6.75891378e-05
 7.35117217e-07 4.70824497e-09 2.01410203e-11 3.62983019e-14]",8,106
107,[ 200 2032 5775 7715 5833 2782  863  153   10],"[1.00000000e+00 1.02110553e-01 4.39698492e-03 1.19270402e-04
 2.30039631e-06 3.37586018e-08 3.77863055e-10 2.77682010e-12
 8.50741452e-15]",9,107
108,"[   200   4196  27456  79530 120780 107340  60205  22773   6179   1188
    141      7]","[1.00000000e+00 2.10854271e-01 2.09045226e-02 1.22949774e-03
 4.76327561e-05 1.30253354e-06 2.63606549e-08 4.13310615e-10
 5.25673143e-12 5.29152275e-14 3.63598785e-16 1.14609546e-18]",12,108
