,num_simplices,max_order_simplex,index_study
0,"[   200   5458  36257  88160 109640  88018  51083  22145   7092   1605
    235     20      1]",13,64
0,[  200  5259 33137 75811 88072 66431 36870 15569  4864  1038   134     8],12,65
0,"[  200  5265 32066 67793 76073 66349 50180 31000 14989  5518  1471   260
    26     1]",14,66
0,[  200  5305 32841 70601 76512 59738 40878 23569 10262  3068   556    46],12,67
0,"[   200   5213  33350  81032 102469  79762  41378  15072   4041    817
    123     14      1]",13,68
0,[  200  5072 28187 50060 39245 17827  5568  1173   136     6],10,69
0,[  200  5379 34006 71801 67303 35796 12561  2937   426    33     1],11,70
0,[  200  5341 33298 72312 80349 60813 34037 13566  3654   630    67     4],12,71
0,[  200  5523 36348 81821 82929 47063 17697  4992  1137   197    21     1],12,72
0,"[   200   5288  35451  97679 166029 220678 237155 199195 127183  59978
  20021   4410    562     30]",14,73
0,"[   200   5578  39089 104010 144994 130756  85739  43651  17688   5623
   1339    221     22      1]",14,74
0,[  200  5233 31343 62733 57625 31188 11527  3011   514    42],10,75
0,"[  200  5266 33421 77484 91780 72079 43440 20318  6914  1588   244    29
     2]",13,76
0,[  200  5331 33284 71112 70701 41203 15822  4067   651    55     2],11,77
0,[  200  5352 33325 70576 73136 51662 28877 12609  4149  1000   162    13],12,78
0,[  200  5209 30944 64280 68784 49105 25757  9997  2788   518    54     2],12,79
0,[  200  5283 33963 79629 91717 63675 30296 10403  2542   404    34     1],12,80
0,"[  200  5206 32283 72697 84142 64866 38799 18701  6939  1845   323    32
     1]",13,81
0,"[   200   5303  34429  85818 119256 115469  82635  43217  15949   3900
    564     37]",12,82
0,"[  200  5268 33024 74031 82622 60177 34561 17025  7133  2371   567    85
     6]",13,83
0,"[   200   5267  34495  87030 118537 106871  68841  32081  10633   2414
    353     29      1]",13,84
0,"[  200  5301 32823 70234 73381 53590 37075 25405 15176  7145  2484   596
    88     6]",14,85
0,[  200  5346 34933 82651 95011 66039 31499 10409  2203   252    11],11,86
0,[  200  5506 36750 86606 96401 62642 26543  7514  1384   146     5],11,87
0,"[   200   5531  37268  89452 105730  79335  43018  17455   5288   1176
    188     20      1]",13,88
0,[  200  5095 30264 64739 71154 50024 24095  7788  1554   159     4],11,89
0,"[   200   5131  32053  79879 121202 147146 155859 140881 104336  61468
  28155   9783   2485    432     45      2]",16,90
0,[  200  5188 32820 77094 90434 64152 31052 10866  2708   451    45     2],12,91
0,"[   200   5306  33782  77474  96990 106240 126294 145507 146600 124377
  87134  49461  22248   7709   1978    353     39      2]",18,92
0,"[   200   5196  33257  83259 119164 127194 114516  89025  59212  33098
  15105   5423   1465    280     34      2]",16,93
0,[  200  5086 30836 71166 91077 79649 48964 20334  5384   810    52],11,94
0,[  200  5458 34395 70816 64462 35004 14395  4708  1123   170    12],11,95
0,"[   200   5056  31623  81490 132480 170376 178848 149233  96610  47769
  17847   4966    991    128      8]",15,96
0,"[   200   5092  32381  85582 136861 156269 132399  83537  38964  13215
   3178    521     54      3]",14,97
0,"[   200   5415  35768  86729 112238 112249 110355 104259  84439  54518
  27003   9973   2657    485     55      3]",16,98
