,num_simplices,max_order_simplex,index_study
0,"[   200   5538  48560 200994 471083 683040 644213 407582 175831  51561
   9896   1125     61      1]",14,65
0,"[   200   5393  37580 104945 159807 156738 104639  47856  14774   2949
    342     17]",12,66
0,"[   200   5388  41397 137178 245103 264827 181929  80116  22113   3636
    319     11]",12,67
0,"[    200    5681   50562  212626  529590  888350 1081125  992833  697491
  372902  148787   42825    8400    1007      56]",15,68
0,"[   200   5266  38807 122297 204347 199692 118847  43599   9649   1195
     75      2]",12,69
0,"[   200   5613  47727 179808 365541 448287 357449 195312  74782  19548
   3181    263      6]",13,70
0,"[   200   5630  41199 112899 147736 109808  52568  17360   3961    611
     61      3]",12,71
0,"[   200   5554  43558 144805 260046 291083 220990 119730  47648  13945
   2846    353     19]",13,72
0,"[   200   5613  42888 129463 195422 171705  96781  37440  10402   2029
    239     12]",12,73
0,"[   200   6034  57267 239284 527523 687339 573543 326879 135111  42844
  10748   2055    259     15]",14,74
0,"[   200   5385  37881 102274 135045  99810  44011  11731   1831    146
      4]",11,75
0,"[    200    5824   54802  246866  658669 1178040 1509745 1424694  993601
  507290  186179   47855    8292     898      50       1]",16,76
0,"[   200   5388  36320  89071 102560  66191  26279   6458    928     76
      4]",11,77
0,"[   200   5513  37722  92006 102767  62582  23397   5782   1049    164
     19      1]",12,78
0,"[   200   5483  41423 128661 207174 193654 109888  38259   8167   1077
     93      5]",12,79
0,[  200  5184 32609 70912 66007 29778  7021   924    73     3],10,80
0,"[   200   5076  32596  80626 100210  74484  37240  13302   3419    622
     77      5]",12,81
0,"[   200   5477  42707 143499 269679 331161 286556 178260  78959  24393
   5115    681     44]",13,82
0,[  200  5305 34593 80659 87355 53019 20835  6069  1527   340    53     4],12,83
0,"[   200   5386  38890 115470 188576 206578 170282 108463  51632  17381
   3880    524     34]",13,84
0,"[   200   5663  46053 155622 269833 273268 176326  77079  23379   4704
    545     25]",12,85
0,"[   200   5257  37517 105826 144171 105668  44544  11387   1866    227
     27      2]",12,86
0,"[   200   5429  37724  99148 128652  96985  45480  13315   2336    235
     13]",11,87
0,"[   200   5669  45381 156731 310752 427537 456780 395050 274721 149960
  62259  18783   3827    461     24]",15,88
0,"[   200   5650  44012 137080 211145 179236  88268  25977   4700    534
     34]",11,89
0,"[   200   5466  42113 138407 248412 280323 214749 115671  44012  11649
   2068    225     11]",13,90
0,"[   200   5439  44362 162154 329751 421340 363166 218763  92235  26318
   4735    472     19]",13,91
0,"[   200   5756  49780 190436 393030 486539 384269 200641  70615  17005
   2803    295     15]",13,92
0,"[    200    5431   46553  202118  561003 1089392 1535524 1602288 1249899
  729814  317168  101581   23753    4040     499      43       2]",17,93
0,"[   200   5631  43992 141741 242024 254480 179028  87168  29181   6483
    898     69      3]",13,94
