,num_simplices,max_order_simplex,index_study
0,"[   200   5866  52770 212073 471488 654702 608349 393125 179929  58413
  13184   1945    162      5]",14,61
0,"[   200   5559  46357 168461 328476 387750 295403 148855  49423  10544
   1392    108      4]",13,62
0,"[    200    5700   58517  308578  980574 2038385 2899299 2893985 2055972
 1046455  381113   97840   16962    1793      90       1]",16,63
0,"[   200   5667  49637 194813 419227 555822 485357 288434 117252  32067
   5736    647     42      1]",14,64
0,"[    200    5816   55423  255524  685550 1177004 1366355 1105838  631058
  252429   69185   12421    1341      70]",14,65
0,"[    200    5787   56743  269781  748732 1355692 1718511 1593017 1106917
  583488  234178   71584   16720    3008     414      40       2]",17,66
0,"[   200   5448  42016 132017 209418 192109 110206  40553   9323   1248
     86      2]",12,67
0,"[    200    5731   54952  256949  703501 1245103 1511270 1303789  814668
  370228  121172   27939    4409     456      25]",15,68
0,"[   200   5503  48490 202143 483765 730220 731278 500027 236450  76943
  16749   2284    169      5]",14,69
0,"[   200   5707  50693 207116 484047 733602 772402 588222 333350 142796
  45818  10534   1586    132      4]",15,70
0,"[    200    5915   63821  365873 1322598 3308818 6062252 8421417 9054547
 7616663 5028527 2595355 1035086  312269   68837   10480     993      45]",18,71
0,"[   200   5904  57037 252552 610029 885949 819653 500136 205252  57349
  11047   1474    129      6]",14,72
0,"[    200    5714   54994  255471  685293 1171343 1348258 1074190  596940
  229563   59822   10222    1089      63       1]",15,73
0,"[   200   5406  41584 135810 237176 254423 181628  89413  30380   6913
    980     74      2]",13,74
0,"[   200   5358  42946 150584 286752 341409 280998 169495  76110  25169
   6004   1003    109      6]",14,75
0,"[   200   5704  50456 199589 432614 576277 503592 299368 123382  35591
   7177    970     75      2]",14,76
0,"[    200    5713   56832  281662  828642 1600453 2152976 2081193 1463629
  748033  274361   70413   12120    1307      79       2]",16,77
0,"[   200   5649  51766 226797 571971 909395 954874 676956 326296 106469
  23140   3227    265     10]",14,78
0,"[   200   5531  45937 172025 363033 487670 445292 285361 129335  40909
   8740   1202     99      4]",14,79
0,"[   200   5274  40898 143595 288576 377563 346175 231302 113123  39262
   9109   1296    102      4]",14,80
0,"[    200    5649   51732  229746  611741 1089791 1373388 1261061  855929
  430753  159847   43274    8403    1120      90       3]",16,81
0,"[   200   5648  49092 192052 421449 588910 561420 378797 183826  63963
  15638   2631    302     23      1]",15,82
0,"[   200   5267  39522 126164 217596 234508 172112  89854  33612   8784
   1508    152      7]",13,83
0,"[   200   5497  45847 171531 354741 456199 389862 229021  93520  26358
   5008    624     50      2]",14,84
0,"[   200   5572  49159 206567 511512 836086 949843 760628 427014 164422
  41482   6270    469     10]",14,85
0,"[   200   5713  51696 219932 542582 868846 961904 761555 436034 179227
  51708  10071   1233     79      1]",15,86
0,"[   200   5643  47598 172064 322941 351613 235410  98774  25790   4110
    385     19]",12,87
0,"[   200   5368  45505 184952 443316 698840 769578 610128 350890 145025
  42228   8493   1170    107      5]",15,88
0,"[   200   5690  49404 186221 368633 427857 310108 144674  43533   8250
    940     61      2]",13,89
0,"[   200   5520  44509 151589 269360 285915 199788 100088  38776  11930
   2743    404     27]",13,90
0,"[   200   5434  41956 137604 242043 260905 185423  89695  29548   6349
    782     38]",12,91
0,"[    200    5776   58551  303213  953314 1994105 2935318 3156602 2540722
 1548674  713428  243962   59653    9772     949      40]",16,92
0,"[   200   5624  48698 194069 441719 644882 643366 454722 233222  88353
  24967   5249    797     79      4]",15,93
0,"[   200   5317  39838 127141 221630 241839 174675  84160  26558   5231
    569     23]",12,94
0,"[   200   5454  43065 146620 270379 308242 233691 121680  43383  10072
   1317     64]",12,95
0,"[    200    5840   57218  278904  827103 1654766 2368737 2526439 2071955
 1336893  685863  277924   86684   19874    3112     292      12]",17,96
0,"[    200    5748   56159  279184  867625 1862382 2895469 3344844 2924710
 1972139 1047179  446069  152943   41033    8010     991      57]",17,97
0,"[   200   5625  50404 212859 523142 837852 927719 733660 422093 177742
  54286  11693   1680    145      6]",15,98
0,"[   200   5452  41716 132358 220962 227804 163487  89681  39565  13962
   3753    709     84      5]",14,99
0,"[   200   5408  44302 166444 356677 490648 461599 306684 145658  49187
  11468   1716    139      4]",14,100
0,"[   200   5567  45628 157624 280258 287924 181850  72694  18677   3137
    340     19]",12,101
0,"[    200    5847   59574  301328  897475 1725875 2265208 2101275 1408026
  690451  249312   66232   12766    1695     133       4]",16,102
0,"[    200    5758   56617  276843  819952 1663417 2503703 2937012 2752529
 2075539 1255824  605526  230450   68210   15278    2450     250      12]",18,103
0,"[    200    5522   50930  228976  598362  997239 1121462  882125  495384
  199928   57525   11436    1442      94       2]",15,104
0,"[   200   5616  49807 202484 450953 604363 513509 283669 102182  23736
   3542    348     22      1]",14,105
0,"[   200   5422  44584 163371 320937 369465 262344 119707  36469   7612
   1045     75      1]",13,106
0,"[    200    5823   54149  235482  592850  977178 1128152  944205  581569
  263862   86754   19807    2887     227       6]",15,107
0,"[   200   5479  49601 213735 520846 789347 784929 525567 238574  73010
  14953   2071    194      9]",14,108
0,"[   200   5604  49210 193934 414686 539034 456199 260450 101176  26315
   4367    415     17]",13,109
0,"[   200   5507  44702 159043 309525 377591 314170 185842  78685  23407
   4687    574     32]",13,110
0,"[   200   5746  52886 229410 571524 908257 974869 724793 373940 131845
  30824   4542    387     15]",14,111
0,"[    200    5554   52219  242787  669465 1217606 1565144 1483922 1061566
  577209  236824   71470   15031    1975     123]",15,112
0,"[   200   5740  51669 217338 531261 850053 942459 735669 400868 148563
  35593   4990    332      5]",14,113
0,"[   200   5682  48738 180544 348566 389672 268318 118205  34020   6341
    698     34]",12,114
0,"[   200   5590  49848 207179 488497 731308 743683 534163 276185 103129
  27540   5149    649     51      2]",15,115
0,"[   200   5639  49354 190829 386742 449285 313107 132212  32709   4273
    232      3]",12,116
0,"[   200   5431  45996 182087 420622 642543 690202 533544 298598 121176
  35765   7654   1143    105      4]",15,117
0,"[    200    5650   51870  227867  588864 1002557 1195193 1028512  647005
  297970   99464   23372    3608     310       9]",15,118
0,"[    200    5825   58209  287784  842445 1602421 2083461 1906187 1248883
  592476  204881   51664    9315    1110      70       1]",16,119
0,"[    200    5652   52524  239099  646523 1140236 1380500 1183407  729936
  324008  101418   21293    2694     155]",14,120
0,"[   200   5450  42303 136437 227385 221754 134049  50521  11418   1413
     76]",11,121
0,"[   200   5559  49171 201545 470613 705178 728684 541798 295875 118840
  34437   6857    838     46]",14,122
0,"[   200   5643  48198 180169 360195 431989 330007 165101  54772  11998
   1625    108      1]",13,123
0,"[    200    5544   52464  246857  682828 1220762 1499480 1312860  831989
  380185  122680   26886    3747     292       9]",15,124
