,betti_numbers,index_study
0,"[1, 17, 46, 0, 0]",150
0,"[1, 27, 43, 2, 0, 0]",151
0,"[1, 37, 41, 0, 0, 0]",152
0,"[1, 33, 29, 0, 0, 0, 0]",153
0,"[1, 14, 47, 0, 0]",154
0,"[1, 22, 40, 0, 0]",155
0,"[1, 37, 23, 0, 0]",156
0,"[1, 54, 13, 0]",157
0,"[1, 56, 20, 0]",158
0,"[1, 21, 59, 1, 0, 0]",159
0,"[1, 19, 73, 0, 0]",160
0,"[1, 30, 43, 0, 0]",161
0,"[1, 68, 47, 0]",162
0,"[1, 23, 25, 0, 0]",163
0,"[1, 55, 15, 0, 0]",164
0,"[1, 108, 3]",165
0,"[1, 39, 45, 0, 0, 0]",166
0,"[1, 21, 25, 1, 0, 0]",167
0,"[1, 50, 39, 1, 0]",168
0,"[1, 66, 38, 0, 0]",169
0,"[1, 38, 25, 3, 0, 0, 0]",170
0,"[1, 44, 54, 1]",171
0,"[1, 33, 40, 1, 0]",172
0,"[1, 45, 47, 0, 0]",173
0,"[1, 51, 36, 1, 0]",174
0,"[1, 60, 31, 0]",175
0,"[1, 86, 25, 0]",176
0,"[2, 85, 14, 0, 0]",177
0,"[1, 87, 21, 0, 0]",178
0,"[1, 84, 24, 0, 0]",179
0,"[1, 29, 67, 0, 0]",180
0,"[1, 32, 43, 0, 0]",181
0,"[1, 29, 65, 0, 0, 0]",182
0,"[1, 22, 95, 0]",183
0,"[1, 41, 29, 0, 0]",184
0,"[1, 89, 12, 0]",185
0,"[2, 45, 65, 0]",186
0,"[1, 22, 67, 0, 0, 0]",187
0,"[1, 54, 25, 0, 0]",188
0,"[1, 53, 27, 1, 0]",189
0,"[1, 38, 28, 0, 0]",190
0,"[1, 11, 33, 0, 0]",191
0,"[1, 49, 40, 0, 0]",192
0,"[1, 49, 37, 0, 0]",193
0,"[1, 22, 90, 0, 0]",194
0,"[1, 25, 50, 0]",195
0,"[1, 24, 54, 1, 0, 0]",196
0,"[1, 66, 23, 2, 0]",197
0,"[1, 34, 22, 0, 0, 0]",198
0,"[2, 80, 17, 1]",199
0,"[1, 23, 52, 0, 0, 0]",200
0,"[1, 32, 60, 4, 0, 0]",201
0,"[1, 13, 80, 0, 0]",202
0,"[1, 36, 98, 0, 0]",203
0,"[1, 46, 40, 0, 0]",204
0,"[1, 14, 21, 1, 0, 0, 0]",205
0,"[1, 30, 16, 3, 0]",206
0,"[1, 39, 33, 0]",207
0,"[1, 44, 37, 1]",208
0,"[2, 49, 31, 0, 0, 0]",209
0,"[1, 42, 23, 0, 0, 0]",210
0,"[1, 16, 41, 2, 0]",211
0,"[1, 37, 42, 0]",212
0,"[1, 18, 38, 2, 0]",213
0,"[1, 36, 13, 0, 0]",214
0,"[2, 28, 45, 0, 0]",215
0,"[1, 56, 48, 0, 0]",216
0,"[1, 41, 58, 0, 0]",217
0,"[1, 32, 35, 1, 0]",218
0,"[1, 50, 55, 0, 0]",219
0,"[1, 97, 10, 0]",220
0,"[1, 11, 43, 1, 0]",221
0,"[1, 43, 44, 0, 0]",222
0,"[1, 60, 44, 0]",223
0,"[1, 20, 40, 1, 0]",224
