,num_simplices,max_order_simplex,index_study
0,[100 532 543 151  12],5,0
0,[100 694 998 497 108   8],6,1
0,[100 678 905 442 115  16   1],7,2
0,[100 723 938 324  30],5,3
0,[100 628 806 342  63   4],6,4
0,[100 585 510 104   5],5,5
0,[ 100  716 1122  672  188   24],6,6
0,[100 688 978 482 109  10],6,7
0,[100 643 941 534 185  41   4],7,8
0,[100 597 731 334  59   4],6,9
0,[100 671 947 437  76   5],6,10
0,[ 100  643 1001  543  117   10],6,11
0,[ 100  687 1258  903  286   36],6,12
0,[100 652 867 403  86  10],6,13
0,[ 100  736 1040  452   71    5],6,14
0,[ 100  737 1191  664  157   10],6,15
0,[ 100  700 1070  627  207   37],6,16
0,[100 594 798 386  98  11],6,17
0,[100 639 750 212  18],5,18
0,[ 100  621 1008  623  163   17    1],7,19
0,[ 100  704 1081  556  132   25    3],7,20
0,[ 100  692 1040  530  132   22    2],7,21
0,[ 100  701 1164  679  170   15],6,22
0,[100 608 796 378  70   5],6,23
0,[100 652 964 477  89   8],6,24
0,[100 645 814 316  56   4],6,25
0,[100 594 719 235  18],5,26
0,[ 100  691 1021  526  113    9],6,27
0,[ 100  658 1086  736  257   48    4],7,28
0,[ 100  716 1182  644  132   12],6,29
0,[ 100  661 1017  598  160   17    1],7,30
0,[ 100  689 1131  669  163   20],6,31
0,[100 638 827 352  59   2],6,32
0,[100 602 630 205  20],5,33
0,[100 665 985 585 191  37   3],7,34
0,[100 639 854 420 111  18   2],7,35
0,[100 648 865 351  50   2],6,36
0,[ 100  701 1008  413   53],5,37
0,[ 100  764 1315  838  246   28    1],7,38
0,[ 100  675 1139  711  209   30    1],7,39
0,[100 660 864 308  28   1],6,40
0,[100 540 624 229  27   1],6,41
0,[ 100  711 1053  600  204   39    2],7,42
0,[ 100  731 1216  750  204   20],6,43
0,[ 100  698 1035  583  187   42    5],7,44
0,[100 600 591 169  16],5,45
0,[ 100  730 1201  670  148   13],6,46
0,[ 100  711 1269  857  244   26],6,47
0,[100 441 400 111  13   1],6,48
0,[ 100  698 1028  512  110    6],6,49
0,[ 100  725 1192  662  154   15],6,50
0,[ 99 564 553 144   8],5,51
0,[100 607 748 288  42   3],6,52
0,[100 654 828 296  27   1],6,53
0,[100 491 538 189  22],5,54
0,[ 100  719 1439 1241  553  131   14],7,55
0,[100 653 893 431 108  14],6,56
0,[100 665 826 274  26   1],6,57
0,[100 652 888 347  50   4],6,58
0,[100 579 611 193  22],5,59
0,[ 100  706 1114  647  189   39    5],7,60
0,[100 617 706 246  23],5,61
0,[ 100  690 1005  486   86    4],6,62
0,[ 100  696 1015  469   80    5],6,63
0,[ 100  680 1082  609  155   17    1],7,64
0,[100 531 539 199  37   3],6,65
0,[ 100  713 1293  968  386   85    8],7,66
0,[100 523 549 208  28],5,67
0,[100 588 574 177  25   2],6,68
0,[100 591 599 175  17],5,69
0,[100 593 748 362  86   4],6,70
0,[100 616 709 289  62   5],6,71
0,[100 631 798 321  65   7],6,72
0,[100 622 710 258  48   5],6,73
0,[100 656 927 433  82   6],6,74
0,[100 700 953 419  85   9],6,75
0,[ 100  716 1240  824  234   27],6,76
0,[ 100  712 1245  855  274   37],6,77
0,[ 100  701 1099  573  119   10],6,78
0,[100 619 651 160  13],5,79
0,[100 598 724 242  25],5,80
0,[100 597 590 153  16   1],6,81
0,[100 532 434 112  15   2],6,82
0,[100 547 552 190  20],5,83
0,[ 100  679 1018  561  136   10],6,84
0,[100 617 845 402  84  10],6,85
0,[100 581 774 308  31],5,86
0,[100 636 802 297  43   3],6,87
0,[100 648 990 542 137  15],6,88
0,[100 664 853 330  35],5,89
0,[100 637 835 347  65   9   1],7,90
0,[100 650 706 180   6],5,91
0,[ 100  689 1007  462   79    5],6,92
0,[ 100  705 1278  936  340   62    4],7,93
0,[ 100  732 1134  516   91    5],6,94
0,[100 635 985 612 190  27   1],7,95
0,[100 620 768 248  19],5,96
0,[100 682 903 374  53   1],6,97
0,[100 640 976 504  86   3],6,98
0,[100 640 709 203  15],5,99
0,[100 662 880 432 133  29   3],7,100
0,[ 100  690 1130  718  270   76   13    1],8,101
0,[100 635 901 520 147  22   1],7,102
0,[ 100  658 1065  676  194   20],6,103
0,[ 100  658 1084  715  229   35    2],7,104
